event_type,job_id,timestamp,previous_data,new_data
appeared,greenhouse_perplexity_4932067007,2025-10-06T09:31:10.361240,,"{""job_id"": ""greenhouse_perplexity_4932067007"", ""source"": ""greenhouse"", ""company_name"": ""Perplexity AI"", ""external_id"": ""4932067007"", ""title"": ""Product Designer - Enterprise Lead"", ""job_url"": ""https://job-boards.greenhouse.io/perplexityai/jobs/4932067007"", ""source_url"": ""https://boards.greenhouse.io/perplexityai"", ""first_seen"": ""2025-10-06T09:31:10.361238"", ""last_seen"": ""2025-10-06T09:31:10.361240"", ""team"": null, ""location"": ""San Francisco"", ""employment_type"": null, ""description"": null, ""requirements"": null, ""apply_url"": null, ""updated_at"": null, ""status"": ""new"", ""salary_range"": null, ""remote_policy"": null, ""experience_level"": null, ""raw_data"": {""absolute_url"": ""https://job-boards.greenhouse.io/perplexityai/jobs/4932067007"", ""data_compliance"": [{""type"": ""gdpr"", ""requires_consent"": false, ""requires_processing_consent"": false, ""requires_retention_consent"": false, ""retention_period"": null, ""demographic_data_consent_applies"": false}], ""internal_job_id"": 4529249007, ""location"": {""name"": ""San Francisco""}, ""metadata"": null, ""id"": 4932067007, ""updated_at"": ""2025-10-05T20:11:22-04:00"", ""requisition_id"": null, ""title"": ""Product Designer - Enterprise Lead"", ""company_name"": ""Perplexity AI"", ""first_published"": ""2025-10-05T20:11:22-04:00""}}"
updated,greenhouse_anthropic_4936732008,2025-10-06T09:31:10.361940,"{""job_id"": ""greenhouse_anthropic_4936732008"", ""source"": ""greenhouse"", ""company_name"": ""Anthropic"", ""external_id"": ""4936732008"", ""title"": ""Indirect Tax Manager"", ""job_url"": ""https://job-boards.greenhouse.io/anthropic/jobs/4936732008"", ""source_url"": ""https://boards.greenhouse.io/anthropic"", ""first_seen"": ""2025-10-02T09:27:40.910827"", ""last_seen"": ""2025-10-05T09:23:44.767217"", ""team"": null, ""location"": ""San Francisco, CA | New York City, NY"", ""employment_type"": null, ""description"": null, ""requirements"": null, ""apply_url"": null, ""updated_at"": null, ""status"": ""active"", ""salary_range"": null, ""remote_policy"": null, ""experience_level"": null, ""raw_data"": {""absolute_url"": ""https://job-boards.greenhouse.io/anthropic/jobs/4936732008"", ""data_compliance"": [{""type"": ""gdpr"", ""requires_consent"": false, ""requires_processing_consent"": false, ""requires_retention_consent"": false, ""retention_period"": null, ""demographic_data_consent_applies"": false}], ""internal_job_id"": 4345987008, ""location"": {""name"": ""San Francisco, CA | New York City, NY""}, ""metadata"": [{""id"": 4036944008, ""name"": ""Location Type"", ""value"": ""On-Site"", ""value_type"": ""single_select""}], ""id"": 4936732008, ""updated_at"": ""2025-10-03T18:38:10-04:00"", ""requisition_id"": ""10321"", ""title"": ""Indirect Tax Manager"", ""company_name"": ""Anthropic"", ""first_published"": ""2025-10-01T19:51:34-04:00""}}","{""job_id"": ""greenhouse_anthropic_4936732008"", ""source"": ""greenhouse"", ""company_name"": ""Anthropic"", ""external_id"": ""4936732008"", ""title"": ""Indirect Tax Manager"", ""job_url"": ""https://job-boards.greenhouse.io/anthropic/jobs/4936732008"", ""source_url"": ""https://boards.greenhouse.io/anthropic"", ""first_seen"": ""2025-10-02T09:27:40.910827"", ""last_seen"": ""2025-10-06T09:31:10.361939"", ""team"": null, ""location"": ""San Francisco, CA"", ""employment_type"": null, ""description"": null, ""requirements"": null, ""apply_url"": null, ""updated_at"": ""2025-10-06T09:31:10.361940"", ""status"": ""updated"", ""salary_range"": null, ""remote_policy"": null, ""experience_level"": null, ""raw_data"": {""absolute_url"": ""https://job-boards.greenhouse.io/anthropic/jobs/4936732008"", ""data_compliance"": [{""type"": ""gdpr"", ""requires_consent"": false, ""requires_processing_consent"": false, ""requires_retention_consent"": false, ""retention_period"": null, ""demographic_data_consent_applies"": false}], ""internal_job_id"": 4345987008, ""location"": {""name"": ""San Francisco, CA""}, ""metadata"": [{""id"": 4036944008, ""name"": ""Location Type"", ""value"": ""On-Site"", ""value_type"": ""single_select""}], ""id"": 4936732008, ""updated_at"": ""2025-10-05T19:01:41-04:00"", ""requisition_id"": ""10321"", ""title"": ""Indirect Tax Manager"", ""company_name"": ""Anthropic"", ""first_published"": ""2025-10-01T19:51:34-04:00""}}"
closed,greenhouse_deepmind_6763910,2025-10-06T09:31:10.363045,"{""job_id"": ""greenhouse_deepmind_6763910"", ""source"": ""greenhouse"", ""company_name"": ""DeepMind"", ""external_id"": ""6763910"", ""title"": ""Research Engineer, Applied Robotics"", ""job_url"": ""https://job-boards.greenhouse.io/deepmind/jobs/6763910"", ""source_url"": ""https://boards.greenhouse.io/deepmind"", ""first_seen"": ""2025-08-24T18:11:26.073223"", ""last_seen"": ""2025-09-24T09:28:57.365841"", ""team"": null, ""location"": ""Mountain View, California, US"", ""employment_type"": null, ""description"": null, ""requirements"": null, ""apply_url"": null, ""updated_at"": null, ""status"": ""closed"", ""salary_range"": null, ""remote_policy"": null, ""experience_level"": null, ""raw_data"": {""absolute_url"": ""https://job-boards.greenhouse.io/deepmind/jobs/6763910"", ""data_compliance"": [{""type"": ""gdpr"", ""requires_consent"": false, ""requires_processing_consent"": false, ""requires_retention_consent"": false, ""retention_period"": null, ""demographic_data_consent_applies"": true}], ""internal_job_id"": 3111592, ""location"": {""name"": ""Mountain View, California, US""}, ""metadata"": [{""id"": 90484, ""name"": ""Website Grouping"", ""value"": ""Engineering"", ""value_type"": ""single_select""}], ""id"": 6763910, ""updated_at"": ""2025-09-08T05:50:44-04:00"", ""requisition_id"": ""1469"", ""title"": ""Research Engineer, Applied Robotics"", ""company_name"": ""DeepMind"", ""first_published"": ""2025-05-20T15:49:45-04:00""}}",
closed,greenhouse_deepmind_6980610,2025-10-06T09:31:10.363182,"{""job_id"": ""greenhouse_deepmind_6980610"", ""source"": ""greenhouse"", ""company_name"": ""DeepMind"", ""external_id"": ""6980610"", ""title"": ""Research Engineering Manager, Gemini Security & Privacy, LDN/NYC"", ""job_url"": ""https://job-boards.greenhouse.io/deepmind/jobs/6980610"", ""source_url"": ""https://boards.greenhouse.io/deepmind"", ""first_seen"": ""2025-08-24T18:11:26.067192"", ""last_seen"": ""2025-09-15T09:30:33.262823"", ""team"": null, ""location"": ""London, UK; New York City, New York, US"", ""employment_type"": null, ""description"": null, ""requirements"": null, ""apply_url"": null, ""updated_at"": null, ""status"": ""closed"", ""salary_range"": null, ""remote_policy"": null, ""experience_level"": null, ""raw_data"": {""absolute_url"": ""https://job-boards.greenhouse.io/deepmind/jobs/6980610"", ""data_compliance"": [{""type"": ""gdpr"", ""requires_consent"": false, ""requires_processing_consent"": false, ""requires_retention_consent"": false, ""retention_period"": null, ""demographic_data_consent_applies"": false}], ""internal_job_id"": 3170915, ""location"": {""name"": ""London, UK; New York City, New York, US""}, ""metadata"": [{""id"": 90484, ""name"": ""Website Grouping"", ""value"": ""Engineering"", ""value_type"": ""single_select""}], ""id"": 6980610, ""updated_at"": ""2025-09-08T05:50:44-04:00"", ""requisition_id"": ""1729"", ""title"": ""Research Engineering Manager, Gemini Security & Privacy, LDN/NYC"", ""company_name"": ""DeepMind"", ""first_published"": ""2025-06-13T09:16:03-04:00""}}",
closed,ashby_openai_bad08e2b-4a90-4431-a0b1-a6a45266771e,2025-10-06T09:31:10.363309,"{""job_id"": ""ashby_openai_bad08e2b-4a90-4431-a0b1-a6a45266771e"", ""source"": ""ashby"", ""company_name"": ""OpenAI"", ""external_id"": ""bad08e2b-4a90-4431-a0b1-a6a45266771e"", ""title"": ""Strategic Sourcing Lead, GTM"", ""job_url"": ""https://jobs.ashbyhq.com/openai/bad08e2b-4a90-4431-a0b1-a6a45266771e"", ""source_url"": ""https://jobs.ashbyhq.com/openai"", ""first_seen"": ""2025-09-10T17:57:20.460742"", ""last_seen"": ""2025-09-27T09:23:34.772912"", ""team"": ""Finance"", ""location"": ""San Francisco"", ""employment_type"": null, ""description"": null, ""requirements"": null, ""apply_url"": null, ""updated_at"": null, ""status"": ""closed"", ""salary_range"": null, ""remote_policy"": null, ""experience_level"": null, ""raw_data"": {""id"": ""bad08e2b-4a90-4431-a0b1-a6a45266771e"", ""title"": ""Strategic Sourcing Lead, GTM"", ""updatedAt"": ""2025-08-23T17:31:56.503Z"", ""suppressDescriptionOpening"": false, ""suppressDescriptionClosing"": false, ""departmentId"": ""202a23d8-9b1b-4685-b279-404da6c52a0d"", ""departmentName"": ""Finance"", ""locationId"": ""bbd9f7fe-aae5-476a-9108-f25aea8f6cd2"", ""locationName"": ""San Francisco"", ""workplaceType"": null, ""employmentType"": ""FullTime"", ""isListed"": true, ""jobId"": ""f26cc8ee-df70-4f17-95f7-51a55fcb3545"", ""jobRequisitionId"": null, ""teamId"": ""202a23d8-9b1b-4685-b279-404da6c52a0d"", ""teamName"": ""Finance"", ""publishedDate"": ""2025-08-23"", ""applicationDeadline"": null, ""shouldDisplayCompensationOnJobBoard"": true, ""secondaryLocations"": [], ""compensationTierSummary"": ""$240K  Offers Equity"", ""userRoles"": []}}",
closed,ashby_openai_32e9c788-1a97-44ce-aeea-0dbdf1bda3a9,2025-10-06T09:31:10.363446,"{""job_id"": ""ashby_openai_32e9c788-1a97-44ce-aeea-0dbdf1bda3a9"", ""source"": ""ashby"", ""company_name"": ""OpenAI"", ""external_id"": ""32e9c788-1a97-44ce-aeea-0dbdf1bda3a9"", ""title"": ""Account Director, Startups"", ""job_url"": ""https://jobs.ashbyhq.com/openai/32e9c788-1a97-44ce-aeea-0dbdf1bda3a9"", ""source_url"": ""https://jobs.ashbyhq.com/openai"", ""first_seen"": ""2025-09-10T17:57:20.488894"", ""last_seen"": ""2025-09-22T09:32:18.065156"", ""team"": ""Sales"", ""location"": ""San Francisco"", ""employment_type"": null, ""description"": null, ""requirements"": null, ""apply_url"": null, ""updated_at"": null, ""status"": ""closed"", ""salary_range"": null, ""remote_policy"": null, ""experience_level"": null, ""raw_data"": {""id"": ""32e9c788-1a97-44ce-aeea-0dbdf1bda3a9"", ""title"": ""Account Director, Startups"", ""updatedAt"": ""2025-08-20T19:48:00.750Z"", ""suppressDescriptionOpening"": false, ""suppressDescriptionClosing"": false, ""departmentId"": ""4dea667f-0ed9-4569-9860-028864712aa6"", ""departmentName"": ""Go To Market"", ""locationId"": ""bbd9f7fe-aae5-476a-9108-f25aea8f6cd2"", ""locationName"": ""San Francisco"", ""workplaceType"": null, ""employmentType"": ""FullTime"", ""isListed"": true, ""jobId"": ""94aeffeb-9328-4b3e-b438-40d1c70bc788"", ""jobRequisitionId"": null, ""teamId"": ""e9101b89-579f-4698-922a-988de348ad5d"", ""teamName"": ""Sales"", ""publishedDate"": ""2025-08-20"", ""applicationDeadline"": null, ""shouldDisplayCompensationOnJobBoard"": true, ""secondaryLocations"": [], ""compensationTierSummary"": ""$220K  Offers Equity"", ""userRoles"": []}}",
closed,greenhouse_deepmind_7215977,2025-10-06T09:31:10.363568,"{""job_id"": ""greenhouse_deepmind_7215977"", ""source"": ""greenhouse"", ""company_name"": ""DeepMind"", ""external_id"": ""7215977"", ""title"": ""Technical Program Manager, Go-to-Market"", ""job_url"": ""https://job-boards.greenhouse.io/deepmind/jobs/7215977"", ""source_url"": ""https://boards.greenhouse.io/deepmind"", ""first_seen"": ""2025-09-10T17:57:20.495773"", ""last_seen"": ""2025-09-15T09:30:33.262572"", ""team"": null, ""location"": ""Mountain View, California, US"", ""employment_type"": null, ""description"": null, ""requirements"": null, ""apply_url"": null, ""updated_at"": null, ""status"": ""closed"", ""salary_range"": null, ""remote_policy"": null, ""experience_level"": null, ""raw_data"": {""absolute_url"": ""https://job-boards.greenhouse.io/deepmind/jobs/7215977"", ""data_compliance"": [{""type"": ""gdpr"", ""requires_consent"": false, ""requires_processing_consent"": false, ""requires_retention_consent"": false, ""retention_period"": null, ""demographic_data_consent_applies"": false}], ""internal_job_id"": 3236185, ""location"": {""name"": ""Mountain View, California, US""}, ""metadata"": [{""id"": 90484, ""name"": ""Website Grouping"", ""value"": ""Operations"", ""value_type"": ""single_select""}], ""id"": 7215977, ""updated_at"": ""2025-09-08T05:50:44-04:00"", ""requisition_id"": ""2110"", ""title"": ""Technical Program Manager, Go-to-Market"", ""company_name"": ""DeepMind"", ""first_published"": ""2025-09-02T23:54:29-04:00""}}",
closed,greenhouse_deepmind_7074559,2025-10-06T09:31:10.363694,"{""job_id"": ""greenhouse_deepmind_7074559"", ""source"": ""greenhouse"", ""company_name"": ""DeepMind"", ""external_id"": ""7074559"", ""title"": ""E/ABP Community Partner"", ""job_url"": ""https://boards.greenhouse.io/deepmind/jobs/7074559"", ""source_url"": ""https://boards.greenhouse.io/deepmind"", ""first_seen"": ""2025-08-24T18:11:26.079370"", ""last_seen"": ""2025-08-24T18:11:26.079370"", ""team"": null, ""location"": ""Mountain View, California, US"", ""employment_type"": null, ""description"": ""<h2>Snapshot</h2>\n<p>E/ABP Community Partners play a key role in the delivery and management of a mission-focussed and effective E/ABP program. Day-to-day, you will partner closely with E/ABPs across the community, providing them with coaching and guidance to optimise their impact, as well as fostering strong relationships with a diverse, complex, and senior stakeholder group, ensuring that the community excels and adapts to evolving business needs.</p>\n<h2>About Us</h2>\n<p><span style=\""font-weight: 400;\"">Artificial Intelligence could be one of humanity\u2019s most useful inventions. At Google DeepMind, we\u2019re a team of scientists, engineers, machine learning experts and more, working together to advance the state of the art in artificial intelligence. We use our technologies for widespread public benefit and scientific discovery, and collaborate with others on critical challenges, ensuring safety and ethics are the highest priority.</span></p>\n<h2>The Role</h2>\n<h3>Key responsibilities:</h3>\n<ul>\n<li>Partner with the E/ABP Lead and other E/ABP Community Partners to lead, develop and nurture the global GDM E/ABP community.&nbsp;</li>\n<li>Collaborate with senior stakeholders to manage the E/ABP community\u2019s capacity and determine leadership partnering bundles by objectively assessing leadership support requirements and providing the information required to make informed decisions in line with the E/ABP program objectives.</li>\n<li>Manage a team of E/ABPs by setting expectations for each of your reports aligned to their role, level, and organisational goals. Provide regular feedback and coaching, invest in their development, assess their performance and regularly meet with the leader(s) they partner with for feedback. Recognize achievements and hold team members accountable against expectations.&nbsp;</li>\n<li>Ensure appropriate metrics, roles, and people are in place to meet organisational goals. Make prioritisation decisions, equitably allocate work, and manage resources to deliver business impact for GDM.&nbsp;</li>\n<li>Manage through change to deliver results by demonstrating good judgement, making and communicating adjustments and removing obstacles to ensure goals can be met during times of change. Encourage innovation and thoughtful risk taking to deliver business impact for GDM. Balance short term needs with longer term business goals and the E/ABP program strategy</li>\n<li>Take ownership to make equitable hiring and talent decisions across the team to meet current and future business needs.&nbsp;</li>\n<li>Ensure that community norms create belonging, psychological safety, and respect. Facilitate collaboration and open communication to help teams achieve results together.</li>\n<li>Encourage wellbeing by checking in with each E/ABP you manage and provide appropriate resources to support wellbeing as needed. Set the team up for sustained high performance by actively reprioritizing or redistributing work as demands on the community change.&nbsp;</li>\n<li>Role model and make decisions and support activities that align to GDM\u2019s values, policies and practices. Encourage community&nbsp; members to positively contribute to GDM and recognize them for doing so.</li>\n</ul>\n<h2>About You</h2>\n<p><strong>In order to set you up for success as a E/ABP Community Manager at Google DeepMind, &nbsp;we look for the following skills and experience:</strong></p>\n<ul>\n<li>Team Management experience: an understanding of and continued investment in growing the skills and capabilities required to lead work, develop people, and build community.</li>\n<li>Ability to build trusting, collaborative relationships and rapport across all stakeholders groups and business areas. You confidently share your expertise and opinions and influence Leaders, reports and collaborators to make informed decisions.&nbsp;</li>\n<li>A resilient nature, you remain calm, implementing changes as required, seeking understanding and learning from any setbacks.&nbsp;</li>\n<li>You identify and take ownership for developing solutions to problems independently and improve ways of working, tools or processes.</li>\n</ul>\n<p><strong>In addition, the following would be an advantage:&nbsp;</strong></p>\n<ul>\n<li>Experience managing teams across offices and timezones</li>\n<li>Understanding of the E/ABP role and/or experience developing individuals within a supportive function</li>\n<li>Experience working closely with senior stakeholders to deliver against business needs</li>\n</ul>\n<p>The US base salary range for this full-time position is between $147,000 - $216,000 + bonus + benefits. Your recruiter can share more about the specific salary range for your targeted location during the hiring process.</p>\n<p><span style=\""font-weight: 400;\"">At Google DeepMind, we value diversity of experience, knowledge, backgrounds and perspectives and harness these qualities to create extraordinary impact. We are committed to equal employment opportunity regardless of sex, race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, pregnancy, or related condition (including breastfeeding) or any other basis as protected by applicable law. If you have a disability or additional need that requires accommodation, please do not hesitate to let us know.</span></p>\n<p><span style=\""font-weight: 400;\"">Note: In the event your application is successful and an offer of employment is made to you, any offer of employment will be conditional on the results of a background check, performed by a third party acting on our behalf. For more information on how we handle your data, please see our&nbsp;<a href=\""https://www.google.com/about/careers/applications/privacy-policy/\"">Applicant and Candidate Privacy Policy</a></span></p>\n<p>&nbsp;</p>\n<h2>&nbsp;</h2>\n<h4>&nbsp;</h4>"", ""requirements"": null, ""apply_url"": null, ""updated_at"": null, ""status"": ""closed"", ""salary_range"": null, ""remote_policy"": null, ""experience_level"": null, ""raw_data"": {""absolute_url"": ""https://job-boards.greenhouse.io/deepmind/jobs/7074559"", ""data_compliance"": [{""type"": ""gdpr"", ""requires_consent"": false, ""requires_processing_consent"": false, ""requires_retention_consent"": false, ""retention_period"": null, ""demographic_data_consent_applies"": false}], ""internal_job_id"": 3193939, ""location"": {""name"": ""Mountain View, California, US""}, ""metadata"": [{""id"": 90484, ""name"": ""Website Grouping"", ""value"": ""Operations"", ""value_type"": ""single_select""}], ""id"": 7074559, ""updated_at"": ""2025-07-30T12:25:15-04:00"", ""requisition_id"": ""1841"", ""title"": ""E/ABP Community Partner"", ""company_name"": ""DeepMind"", ""first_published"": ""2025-07-15T15:52:27-04:00""}}",
closed,greenhouse_anthropic_4675700008,2025-10-06T09:31:10.363819,"{""job_id"": ""greenhouse_anthropic_4675700008"", ""source"": ""greenhouse"", ""company_name"": ""Anthropic"", ""external_id"": ""4675700008"", ""title"": ""B2B Growth Marketing Lead"", ""job_url"": ""https://job-boards.greenhouse.io/anthropic/jobs/4675700008"", ""source_url"": ""https://boards.greenhouse.io/anthropic"", ""first_seen"": ""2025-09-10T17:57:20.474243"", ""last_seen"": ""2025-09-25T09:28:46.141162"", ""team"": null, ""location"": ""San Francisco, CA | New York City, NY"", ""employment_type"": null, ""description"": null, ""requirements"": null, ""apply_url"": null, ""updated_at"": null, ""status"": ""closed"", ""salary_range"": null, ""remote_policy"": null, ""experience_level"": null, ""raw_data"": {""absolute_url"": ""https://job-boards.greenhouse.io/anthropic/jobs/4675700008"", ""data_compliance"": [{""type"": ""gdpr"", ""requires_consent"": false, ""requires_processing_consent"": false, ""requires_retention_consent"": false, ""retention_period"": null, ""demographic_data_consent_applies"": false}], ""internal_job_id"": 4236717008, ""location"": {""name"": ""San Francisco, CA | New York City, NY""}, ""metadata"": [{""id"": 4036944008, ""name"": ""Location Type"", ""value"": ""On-Site"", ""value_type"": ""single_select""}], ""id"": 4675700008, ""updated_at"": ""2025-09-12T19:30:47-04:00"", ""requisition_id"": ""3839"", ""title"": ""B2B Growth Marketing Lead"", ""company_name"": ""Anthropic"", ""first_published"": ""2025-05-08T12:25:14-04:00""}}",
closed,ashby_openai_f27b7c0b-c72d-44b5-a2b7-a4c5cde8df43,2025-10-06T09:31:10.363940,"{""job_id"": ""ashby_openai_f27b7c0b-c72d-44b5-a2b7-a4c5cde8df43"", ""source"": ""ashby"", ""company_name"": ""OpenAI"", ""external_id"": ""f27b7c0b-c72d-44b5-a2b7-a4c5cde8df43"", ""title"": ""Embedded Software Engineer"", ""job_url"": ""https://jobs.ashbyhq.com/openai/f27b7c0b-c72d-44b5-a2b7-a4c5cde8df43"", ""source_url"": ""https://jobs.ashbyhq.com/openai"", ""first_seen"": ""2025-09-10T17:57:20.446206"", ""last_seen"": ""2025-10-02T09:27:40.913871"", ""team"": ""Applied AI"", ""location"": ""San Francisco"", ""employment_type"": null, ""description"": null, ""requirements"": null, ""apply_url"": null, ""updated_at"": null, ""status"": ""closed"", ""salary_range"": null, ""remote_policy"": null, ""experience_level"": null, ""raw_data"": {""id"": ""f27b7c0b-c72d-44b5-a2b7-a4c5cde8df43"", ""title"": ""Embedded Software Engineer "", ""updatedAt"": ""2025-07-12T04:41:34.878Z"", ""suppressDescriptionOpening"": false, ""suppressDescriptionClosing"": false, ""departmentId"": ""e1e973fe-6f0a-475f-9361-a9b6c095d869"", ""departmentName"": ""Applied AI"", ""locationId"": ""bbd9f7fe-aae5-476a-9108-f25aea8f6cd2"", ""locationName"": ""San Francisco"", ""workplaceType"": null, ""employmentType"": ""FullTime"", ""isListed"": true, ""jobId"": ""fdea91f5-0be1-4152-aeef-6f138c45ffe8"", ""jobRequisitionId"": null, ""teamId"": ""e1e973fe-6f0a-475f-9361-a9b6c095d869"", ""teamName"": ""Applied AI"", ""publishedDate"": ""2025-07-12"", ""applicationDeadline"": null, ""shouldDisplayCompensationOnJobBoard"": true, ""secondaryLocations"": [], ""compensationTierSummary"": ""$325K  $490K  Offers Equity"", ""userRoles"": []}}",
